subject,time,system,task,accurate,damage,enrolled,semesters,list
BY2,51.47,Z,0_sa,1,0,1,1.0,E3
BY2,34.02,S,1_gal,1,1,1,1.0,E2
BY2,94.885,S,0_kid,1,0,1,1.0,E2
BY2,244.161,S,0_sanga,0,0,1,1.0,E2
BY2,178.984,S,2_urudu,0,2,1,1.0,E2
BY2,6.201,S,0_hub,1,0,1,1.0,E2
BY2,138.626,S,3_sir3,1,3,1,1.0,E2
BY2,37.489,S,1_gal,1,1,1,1.0,E2
BY2,51.693,S,0_sanga,1,0,1,1.0,E2
BY2,29.098,S,2_duh,1,2,1,1.0,E2
BY2,66.528,S,0_dam,1,0,1,1.0,E2
BY2,227.302,S,4_tu7,1,4,1,1.0,E2
BY2,24.2,S,0_kid,1,0,1,1.0,E2
BY2,32.949,S,1_ama,1,1,1,1.0,E2
BY2,31.527,S,0_pu2,1,0,1,1.0,E2
BY2,206.762,S,2_gig,1,2,1,1.0,E2
BY2,32.682,S,0_sipa,1,0,1,1.0,E2
CX3,6.967,S,2_e2,1,2,1,17.0,E3
CX3,205.973,S,2_dug,1,2,1,17.0,E3
CX3,239.154,S,3_zag,1,3,1,17.0,E3
CX3,9.537,S,1_2,1,1,1,17.0,E3
CX3,5.266,S,2_lal3,1,2,1,17.0,E3
CX3,7.125,S,0_gu4,1,0,1,17.0,E3
CX3,108.64,S,0_elam,1,0,1,17.0,E3
CX3,12.696,S,3_sag,1,3,1,17.0,E3
CX3,6.519,S,0_hur,1,0,1,17.0,E3
CX3,4.941,S,0_bal,1,0,1,17.0,E3
CX3,17.015,S,1_iku,1,1,1,17.0,E3
CX3,29.826,S,4_dub,1,4,1,17.0,E3
CX3,6.897,S,0_ezen4,1,0,1,17.0,E3
CX3,138.191,S,0_sa,1,0,1,17.0,E3
CX3,97.839,S,0_zu9,1,0,1,17.0,E3
CX3,7.23,S,2_mec,1,2,1,17.0,E3
CX3,49.866,Z,3_sa5,1,3,1,17.0,E1
CX3,68.214,Z,0_sig2+munus,1,0,1,17.0,E1
CX3,501.468,Z,0_cudun3,0,0,1,17.0,E1
CX3,105.582,Z,3_mac2,1,3,1,17.0,E1
CX3,89.714,Z,2_gir3,1,2,1,17.0,E1
CX3,7.88,Z,2_dugud,1,2,1,17.0,E1
CX3,38.093,Z,0_ziz2,0,0,1,17.0,E1
CX3,107.378,Z,0_kac4,1,0,1,17.0,E1
CX3,37.359,Z,2_gada,0,2,1,17.0,E1
CX3,39.196,Z,0_nita2,1,0,1,17.0,E1
CX3,6.095,Z,0_kiri6,1,0,1,17.0,E1
CX3,6.215,Z,4_6,0,4,1,17.0,E1
CX3,7.707,Z,1_gag,1,1,1,17.0,E1
CX3,57.032,Z,0_gur,1,0,1,17.0,E1
CX3,64.537,Z,2_nag,1,2,1,17.0,E1
CX3,13.979,Z,1_tur,1,1,1,17.0,E1
PA2,107.234,H,3_sa5,1,3,0,1.0,P1
PA2,80.854,H,0_kiri6,1,0,0,1.0,P1
PA2,127.702,H,0_nita2,0,0,0,1.0,P1
PA2,27.277,H,2_gir3,1,2,0,1.0,P1
PA2,22.207,H,3_mac2,1,3,0,1.0,P1
PA2,111.938,H,0_cudun3,0,0,0,1.0,P1
PA2,77.288,H,1_gag,0,1,0,1.0,P1
PA2,93.36,H,2_nag,0,2,0,1.0,P1
PA2,128.114,H,0_sig2+munus,0,0,0,1.0,P1
PA2,38.214,H,0_gur,1,0,0,1.0,P1
PA2,60.677,H,4_6,0,4,0,1.0,P1
PA2,37.293,H,0_ziz2,1,0,0,1.0,P1
PA2,32.677,H,2_dugud,1,2,0,1.0,P1
PA2,61.635,H,0_kac4,0,0,0,1.0,P1
PA2,45.873,H,1_tur,1,1,0,1.0,P1
PA2,120.212,H,2_gada,0,2,0,1.0,P1
PA2,281.571,Z,2_urudu,1,2,0,1.0,P2
PA2,107.251,Z,2_duh,1,2,0,1.0,P2
PA2,76.565,Z,0_kid,0,0,0,1.0,P2
PA2,127.359,Z,1_gal,1,1,0,1.0,P2
PA2,134.644,Z,0_dam,0,0,0,1.0,P2
PA2,105.271,Z,1_ama,0,1,0,1.0,P2
PA2,69.255,Z,2_gig,1,2,0,1.0,P2
PA2,114.4,Z,2_alam,1,2,0,1.0,P2
PA2,96.028,Z,0_pu2,1,0,0,1.0,P2
PA2,212.274,Z,4_tu7,1,4,0,1.0,P2
PA2,295.521,Z,0_sanga,0,0,0,1.0,P2
PA2,314.042,Z,0_hub,1,0,0,1.0,P2
PA2,337.028,Z,0_sipa,0,0,0,1.0,P2
PA2,134.132,Z,0_ca3,1,0,0,1.0,P2
PA2,180.634,Z,3_sir3,0,3,0,1.0,P2
PA2,149.956,Z,3_inanna,0,3,0,1.0,P2
AX2,49.892,S,2_nag,1,2,0,0.0,E1
AX2,99.551,S,1_gag,1,1,0,0.0,E1
AX2,45.543,S,2_dugud,1,2,0,0.0,E1
AX2,400.294,S,0_sig2+munus,0,0,0,0.0,E1
AX2,107.711,S,3_mac2,1,3,0,0.0,E1
AX2,469.898,S,3_sa5,1,3,0,0.0,E1
AX2,36.425,S,0_nita2,1,0,0,0.0,E1
AX2,82.27,S,2_gada,0,2,0,0.0,E1
AX2,285.294,S,0_cudun3,1,0,0,0.0,E1
AX2,96.111,S,4_6,1,4,0,0.0,E1
AX2,48.464,S,2_gir3,1,2,0,0.0,E1
AX2,23.888,S,0_ziz2,1,0,0,0.0,E1
AX2,53.019,S,0_gur,1,0,0,0.0,E1
AX2,84.154,S,0_kac4,1,0,0,0.0,E1
AX2,336.673,S,0_kiri6,1,0,0,0.0,E1
AX2,72.131,S,1_tur,0,1,0,0.0,E1
AX2,90.972,Z,1_gal,1,1,0,0.0,E2
AX2,148.582,Z,0_ca3,1,0,0,0.0,E2
AX2,112.94,Z,0_dam,0,0,0,0.0,E2
AX2,84.666,Z,4_tu7,1,4,0,0.0,E2
AX2,487.347,Z,3_sir3,1,3,0,0.0,E2
AX2,144.25,Z,2_urudu,1,2,0,0.0,E2
AX2,134.163,Z,2_gig,1,2,0,0.0,E2
AX2,181.667,Z,0_kid,0,0,0,0.0,E2
AX2,634.684,Z,0_hub,1,0,0,0.0,E2
AX2,159.635,Z,2_alam,1,2,0,0.0,E2
AX2,177.471,Z,0_sipa,1,0,0,0.0,E2
AX2,84.361,Z,0_pu2,1,0,0,0.0,E2
AX2,264.421,Z,1_ama,1,1,0,0.0,E2
AX2,521.582,Z,3_inanna,0,3,0,0.0,E2
AX2,378.835,Z,0_sanga,1,0,0,0.0,E2
AX2,211.841,Z,2_duh,0,2,0,0.0,E2
AY1,718.318,Z,0_sanga,0,0,1,1.0,E2
AY1,188.588,Z,0_dam,0,0,1,1.0,E2
AY1,58.995,Z,1_gal,1,1,1,1.0,E2
AY1,127.46,Z,2_duh,0,2,1,1.0,E2
AY1,376.101,Z,2_alam,0,2,1,1.0,E2
AY1,91.533,Z,4_tu7,0,4,1,1.0,E2
AY1,74.461,Z,0_pu2,0,0,1,1.0,E2
AY1,412.462,Z,1_ama,0,1,1,1.0,E2
AY1,253.835,Z,0_hub,0,0,1,1.0,E2
AY1,36.186,Z,3_inanna,0,3,1,1.0,E2
AY1,153.598,Z,0_sipa,1,0,1,1.0,E2
AY1,82.631,Z,2_gig,1,2,1,1.0,E2
AY1,233.838,Z,0_ca3,0,0,1,1.0,E2
AY1,115.049,Z,2_urudu,1,2,1,1.0,E2
AY1,277.517,Z,3_sir3,0,3,1,1.0,E2
AY1,250.655,Z,0_kid,1,0,1,1.0,E2
AY1,279.72,H,3_mac2,1,3,1,1.0,E1
AY1,211.858,H,0_ziz2,0,0,1,1.0,E1
AY1,131.361,H,1_tur,0,1,1,1.0,E1
AY1,224.573,H,2_nag,0,2,1,1.0,E1
AY1,481.779,H,0_cudun3,0,0,1,1.0,E1
AY1,54.962,H,0_gur,1,0,1,1.0,E1
AY1,143.285,H,1_gag,1,1,1,1.0,E1
AY1,228.501,H,2_gada,0,2,1,1.0,E1
AY1,92.32,H,0_nita2,1,0,1,1.0,E1
AY1,63.154,H,0_kiri6,1,0,1,1.0,E1
AY1,155.776,H,4_6,1,4,1,1.0,E1
AY1,59.643,H,2_gir3,0,2,1,1.0,E1
AY1,407.864,H,0_sig2+munus,0,0,1,1.0,E1
AY1,172.67,H,3_sa5,0,3,1,1.0,E1
AY1,42.651,H,2_dugud,1,2,1,1.0,E1
AY1,258.113,H,0_kac4,0,0,1,1.0,E1
PAE,239.628,H,0_cudun3,0,0,0,4.0,P1
PAE,132.766,H,0_gur,1,0,0,4.0,P1
PAE,99.011,H,0_kac4,0,0,0,4.0,P1
PAE,83.926,H,0_kiri6,1,0,0,4.0,P1
PAE,154.941,H,0_nita2,1,0,0,4.0,P1
PAE,219.447,H,0_sig2+munus,0,0,0,4.0,P1
PAE,70.486,H,0_ziz2,1,0,0,4.0,P1
PAE,187.606,H,1_gag,0,1,0,4.0,P1
PAE,64.416,H,1_tur,1,1,0,4.0,P1
PAE,34.326,H,2_dugud,1,2,0,4.0,P1
PAE,124.132,H,2_gada,0,2,0,4.0,P1
PAE,63.917,H,2_gir3,1,2,0,4.0,P1
PAE,98.125,H,2_nag,1,2,0,4.0,P1
PAE,50.761,H,3_mac2,1,3,0,4.0,P1
PAE,54.159,H,3_sa5,1,3,0,4.0,P1
PAE,62.297,H,4_6,1,4,0,4.0,P1
PAE,112.197,Z,0_ca3,1,0,0,4.0,P2
PAE,103.007,Z,0_dam,0,0,0,4.0,P2
PAE,285.707,Z,0_hub,1,0,0,4.0,P2
PAE,193.663,Z,0_kid,1,0,0,4.0,P2
PAE,142.468,Z,0_pu2,0,0,0,4.0,P2
PAE,350.017,Z,0_sanga,1,0,0,4.0,P2
PAE,339.533,Z,0_sipa,1,0,0,4.0,P2
PAE,185.018,Z,1_ama,0,1,0,4.0,P2
PAE,104.2,Z,1_gal,0,1,0,4.0,P2
PAE,139.391,Z,2_alam,0,2,0,4.0,P2
PAE,80.162,Z,2_duh,1,2,0,4.0,P2
PAE,135.351,Z,2_gig,1,2,0,4.0,P2
PAE,132.909,Z,2_urudu,1,2,0,4.0,P2
PAE,194.871,Z,3_inanna,0,3,0,4.0,P2
PAE,828.416,Z,3_sir3,1,3,0,4.0,P2
PAE,185.417,Z,4_tu7,1,4,0,4.0,P2
CX1,107.02,H,1_2,1,1,0,2.0,E3
CX1,65.866,H,0_gu4,1,0,0,2.0,E3
CX1,261.817,H,0_bal,1,0,0,2.0,E3
CX1,344.409,H,1_iku,1,1,0,2.0,E3
CX1,46.148,H,0_elam,1,0,0,2.0,E3
CX1,227.28,H,3_sag,1,3,0,2.0,E3
CX1,163.805,H,0_zu9,1,0,0,2.0,E3
CX1,136.928,H,2_e2,1,2,0,2.0,E3
CX1,132.55,H,0_sa,1,0,0,2.0,E3
CX1,50.814,H,0_ezen4,1,0,0,2.0,E3
CX1,217.854,H,3_zag,1,3,0,2.0,E3
CX1,334.732,H,0_hur,0,0,0,2.0,E3
CX1,31.635,H,2_mec,1,2,0,2.0,E3
CX1,95.26,H,2_lal3,0,2,0,2.0,E3
CX1,51.084,H,4_dub,1,4,0,2.0,E3
CX1,186.633,H,2_dug,1,2,0,2.0,E3
CX1,350.399,Z,3_sa5,0,3,0,2.0,E1
CX1,241.239,Z,3_mac2,1,3,0,2.0,E1
CX1,305.042,Z,0_sig2+munus,1,0,0,2.0,E1
CX1,141.964,Z,0_kac4,1,0,0,2.0,E1
CX1,186.785,Z,1_gag,0,1,0,2.0,E1
CX1,81.21,Z,0_nita2,1,0,0,2.0,E1
CX1,119.072,Z,4_6,0,4,0,2.0,E1
CX1,61.212,Z,0_kiri6,1,0,0,2.0,E1
CX1,285.277,Z,0_cudun3,0,0,0,2.0,E1
CX1,146.999,Z,2_gada,0,2,0,2.0,E1
CX1,71.726,Z,0_ziz2,1,0,0,2.0,E1
CX1,188.282,Z,2_nag,0,2,0,2.0,E1
CX1,80.57,Z,1_tur,1,1,0,2.0,E1
CX1,110.936,Z,0_gur,1,0,0,2.0,E1
CX1,60.957,Z,2_gir3,1,2,0,2.0,E1
CX1,65.695,Z,2_dugud,1,2,0,2.0,E1
CY1,245.567,Z,2_gada,0,2,1,1.0,E1
CY1,104.608,Z,2_gir3,1,2,1,1.0,E1
CY1,246.281,Z,0_cudun3,0,0,1,1.0,E1
CY1,146.327,Z,4_6,0,4,1,1.0,E1
CY1,424.952,Z,2_nag,0,2,1,1.0,E1
CY1,123.004,Z,0_kac4,1,0,1,1.0,E1
CY1,211.64,Z,0_sig2+munus,1,0,1,1.0,E1
CY1,92.755,Z,0_ziz2,1,0,1,1.0,E1
CY1,407.853,Z,3_sa5,0,3,1,1.0,E1
CY1,69.699,Z,2_dugud,1,2,1,1.0,E1
CY1,195.179,Z,1_gag,1,1,1,1.0,E1
CY1,98.784,Z,0_nita2,1,0,1,1.0,E1
CY1,67.925,Z,0_gur,1,0,1,1.0,E1
CY1,115.113,Z,0_kiri6,1,0,1,1.0,E1
CY1,117.581,Z,1_tur,1,1,1,1.0,E1
CY1,151.973,Z,3_mac2,1,3,1,1.0,E1
CY1,99.458,H,2_mec,1,2,1,1.0,E3
CY1,166.08,H,1_iku,1,1,1,1.0,E3
CY1,138.333,H,3_zag,0,3,1,1.0,E3
CY1,264.184,H,4_dub,1,4,1,1.0,E3
CY1,116.567,H,2_e2,1,2,1,1.0,E3
CY1,349.698,H,3_sag,1,3,1,1.0,E3
CY1,79.329,H,0_bal,1,0,1,1.0,E3
CY1,78.278,H,1_2,1,1,1,1.0,E3
CY1,427.702,H,0_ezen4,1,0,1,1.0,E3
CY1,155.4,H,2_lal3,1,2,1,1.0,E3
CY1,67.228,H,0_elam,1,0,1,1.0,E3
CY1,165.176,H,0_hur,1,0,1,1.0,E3
CY1,91.005,H,0_gu4,1,0,1,1.0,E3
CY1,237.586,H,0_sa,1,0,1,1.0,E3
CY1,158.33,H,2_dug,1,2,1,1.0,E3
CY1,252.676,H,0_zu9,1,0,1,1.0,E3
PA1,51.547,H,0_kiri6,1,0,0,1.0,P1
PA1,151.668,H,2_gada,1,2,0,1.0,P1
PA1,143.59,H,4_6,0,4,0,1.0,P1
PA1,165.767,H,3_sa5,1,3,0,1.0,P1
PA1,86.932,H,2_gir3,1,2,0,1.0,P1
PA1,40.662,H,0_ziz2,1,0,0,1.0,P1
PA1,41.729,H,0_gur,1,0,0,1.0,P1
PA1,67.859,H,0_nita2,1,0,0,1.0,P1
PA1,132.672,H,2_nag,1,2,0,1.0,P1
PA1,63.05,H,1_gag,1,1,0,1.0,P1
PA1,78.001,H,2_dugud,1,2,0,1.0,P1
PA1,191.279,H,0_kac4,0,0,0,1.0,P1
PA1,386.14,H,0_cudun3,1,0,0,1.0,P1
PA1,181.999,H,0_sig2+munus,1,0,0,1.0,P1
PA1,51.451,H,3_mac2,1,3,0,1.0,P1
PA1,71.567,H,1_tur,1,1,0,1.0,P1
PA1,91.144,Z,1_gal,0,1,0,1.0,P2
PA1,205.844,Z,0_kid,1,0,0,1.0,P2
PA1,273.466,Z,0_sanga,1,0,0,1.0,P2
PA1,63.814,Z,3_inanna,0,3,0,1.0,P2
PA1,187.287,Z,0_dam,0,0,0,1.0,P2
PA1,116.438,Z,0_sipa,1,0,0,1.0,P2
PA1,52.939,Z,2_urudu,1,2,0,1.0,P2
PA1,91.079,Z,4_tu7,1,4,0,1.0,P2
PA1,145.476,Z,1_ama,1,1,0,1.0,P2
PA1,34.194,Z,2_gig,1,2,0,1.0,P2
PA1,53.457,Z,2_duh,0,2,0,1.0,P2
PA1,100.554,Z,2_alam,1,2,0,1.0,P2
PA1,151.129,Z,0_hub,1,0,0,1.0,P2
PA1,67.054,Z,0_ca3,1,0,0,1.0,P2
PA1,216.023,Z,0_pu2,1,0,0,1.0,P2
PA1,123.948,Z,3_sir3,1,3,0,1.0,P2
CX2,242.939,S,0_ezen4,0,0,1,1.0,E3
CX2,52.247,S,0_sa,1,0,1,1.0,E3
CX2,114.786,S,3_sag,0,3,1,1.0,E3
CX2,27.468,S,2_mec,1,2,1,1.0,E3
CX2,128.622,S,1_iku,1,1,1,1.0,E3
CX2,58.386,S,4_dub,1,4,1,1.0,E3
CX2,42.742,S,0_gu4,1,0,1,1.0,E3
CX2,135.947,S,0_elam,1,0,1,1.0,E3
CX2,82.064,S,2_dug,1,2,1,1.0,E3
CX2,50.796,S,0_hur,1,0,1,1.0,E3
CX2,65.108,S,1_2,1,1,1,1.0,E3
CX2,168.102,S,3_zag,0,3,1,1.0,E3
CX2,250.701,S,0_bal,0,0,1,1.0,E3
CX2,102.467,S,0_zu9,1,0,1,1.0,E3
CX2,44.456,S,2_lal3,1,2,1,1.0,E3
CX2,118.652,S,2_e2,1,2,1,1.0,E3
CX2,60.744,Z,2_dugud,1,2,1,1.0,E1
CX2,123.971,Z,4_6,1,4,1,1.0,E1
CX2,201.244,Z,1_gag,0,1,1,1.0,E1
CX2,228.362,Z,0_cudun3,0,0,1,1.0,E1
CX2,68.871,Z,0_nita2,1,0,1,1.0,E1
CX2,66.0,Z,1_tur,1,1,1,1.0,E1
CX2,97.445,Z,3_mac2,1,3,1,1.0,E1
CX2,225.806,Z,0_sig2+munus,1,0,1,1.0,E1
CX2,87.466,Z,0_kac4,1,0,1,1.0,E1
CX2,75.876,Z,0_kiri6,1,0,1,1.0,E1
CX2,115.489,Z,2_gada,1,2,1,1.0,E1
CX2,222.879,Z,3_sa5,1,3,1,1.0,E1
CX2,48.151,Z,0_ziz2,1,0,1,1.0,E1
CX2,53.836,Z,0_gur,1,0,1,1.0,E1
CX2,55.43,Z,2_gir3,1,2,1,1.0,E1
CX2,214.563,Z,2_nag,0,2,1,1.0,E1
BX1,134.571,H,2_duh,0,2,0,0.0,E2
BX1,95.602,H,0_pu2,1,0,0,0.0,E2
BX1,154.305,H,2_gig,1,2,0,0.0,E2
BX1,112.932,H,0_hub,0,0,0,0.0,E2
BX1,110.789,H,2_urudu,1,2,0,0.0,E2
BX1,607.549,H,4_tu7,0,4,0,0.0,E2
BX1,117.865,H,0_sipa,1,0,0,0.0,E2
BX1,72.648,H,1_gal,0,1,0,0.0,E2
BX1,137.195,H,0_sanga,1,0,0,0.0,E2
BX1,541.87,H,1_ama,0,1,0,0.0,E2
BX1,186.738,H,3_inanna,0,3,0,0.0,E2
BX1,79.159,H,0_kid,1,0,0,0.0,E2
BX1,206.054,H,0_dam,0,0,0,0.0,E2
BX1,127.857,H,2_alam,1,2,0,0.0,E2
BX1,342.005,H,0_ca3,0,0,0,0.0,E2
BX1,112.086,H,3_sir3,1,3,0,0.0,E2
BX1,163.955,Z,1_iku,1,1,0,0.0,E3
BX1,445.168,Z,2_dug,0,2,0,0.0,E3
BX1,227.535,Z,4_dub,1,4,0,0.0,E3
BX1,278.638,Z,0_zu9,0,0,0,0.0,E3
BX1,399.444,Z,0_ezen4,0,0,0,0.0,E3
BX1,202.949,Z,2_mec,1,2,0,0.0,E3
BX1,207.351,Z,0_gu4,0,0,0,0.0,E3
BX1,42.352,Z,3_sag,0,3,0,0.0,E3
BX1,90.225,Z,0_sa,0,0,0,0.0,E3
BX1,228.344,Z,0_hur,1,0,0,0.0,E3
BX1,109.195,Z,0_bal,1,0,0,0.0,E3
BX1,93.972,Z,1_2,1,1,0,0.0,E3
BX1,312.06,Z,2_e2,0,2,0,0.0,E3
BX1,88.868,Z,2_lal3,1,2,0,0.0,E3
BX1,187.064,Z,0_elam,0,0,0,0.0,E3
BX1,84.026,Z,3_zag,0,3,0,0.0,E3
